paso;fase;tarea;descripcion_inicial;estado;responsable;fecha_inicio;fecha_fin;evidencia_entrega
01;Fase A. Preparar el proyecto y cargar las fuentes;Fijar la especificación del experimento;Escribir objetivo geológico, ámbito, resolución, definición de positivo, estrategia de evaluación y límites de interpretación. Elegir el piloto por datos y representatividad, no por una métrica favorable. Salida: `config/project.yaml`. Termina cuando dos personas pueden interpretar del mismo modo qué predice una celda y en qué territorio.;Pendiente;;;;
02;Fase A. Preparar el proyecto y cargar las fuentes;Preparar un entorno reproducible;"Crear un entorno aislado con versiones compatibles de Python, GDAL, Rasterio, GeoPandas/Pyogrio, Shapely, PyProj, Pandas/PyArrow y scikit-learn. Añadir boosting y SHAP cuando se necesiten. No asumir que el Python 3.14 actualmente disponible soporta sin problemas todas las dependencias. Probar apertura de un `MULTICURVE`, un ráster y una transformación de CRS; fijar versiones después de esa prueba. Salida: archivo de dependencias bloqueadas e instrucciones de instalación.";Pendiente;;;;
03;Fase A. Preparar el proyecto y cargar las fuentes;Congelar fuentes sin alterar originales;Registrar ruta, tamaño, hash SHA-256, fecha de archivo, fecha de consulta/descarga si se conoce, fuente, capa interna, licencia comprobada y estado. No confundir fecha de copia con fecha de adquisición. Los aproximadamente 6,4 GB inventariados aconsejan evitar copias sucesivas innecesarias. Salida: manifiesto de fuentes. Termina cuando cada derivado puede vincularse a una versión exacta de sus entradas.;Pendiente;;;;
04;Fase A. Preparar el proyecto y cargar las fuentes;Construir cargadores por formato;"GPKG con lector geoespacial; TIFF por ventanas; CSV/Excel con identificadores como texto y ceros iniciales conservados. Leer muestras y esquemas antes de cargar capas millonarias. Para servicios remotos, paginar por identificadores y comprobar recuentos; no guardar un resultado truncado como cobertura completa. Salida: módulo de lectura más informes de filas, CRS, columnas, geometrías y errores.";Pendiente;;;;
05;Fase A. Preparar el proyecto y cargar las fuentes;Resolver inventario y rutas;Mantener una sola referencia canónica por fuente. Corregir la referencia a `contactos.gpkg`, registrar los nueve GPKG vacíos y las rutas QGIS rotas, incluida la referencia a `data/processed/bdmin_au_clean.gpkg`. El código nuevo resolverá rutas desde la raíz/configuración, sin `C:\Users\mdmat\...`. Salida: catálogo de capas con estados `utilizable`, `requiere_limpieza`, `recuperar`, `visual`, `derivado`.;Pendiente;;;;
06;Fase A. Preparar el proyecto y cargar las fuentes;Recuperar datos mínimos ausentes;Obtener límite terrestre oficial y leyendas geológicas. Para el aluvial, recuperar polígonos cuaternarios y cartografía fluvial/relieve con detalle suficiente. Verificar acceso a datos del Atlas anteriores al renderizado y a fuentes cuantitativas de SIGEOF. Guardar URL, respuesta, identificadores y límites de cobertura. La disponibilidad de un servicio deberá confirmarse al ejecutar la descarga. Salida: fuentes nuevas y registro de lo que continúa sin acceso.;Pendiente;;;;
07;Fase B. Limpiar indicios y definir las etiquetas;Conciliar las tres bases de indicios;"Comparar GPKG, CSV y Excel por `Codigo_indicio` y contenido; tratar `ESRI_OID` como identificador de una copia, no necesariamente estable entre versiones. Producir listas de solo-en-una-fuente, duplicados, sustancias discrepantes y posiciones discrepantes. No rellenar por coincidencia de fila. Salida: `reconciliacion_indicios.csv` y elección justificada de la fuente vigente.";Pendiente;;;;
08;Fase B. Limpiar indicios y definir las etiquetas;Limpiar atributos sin perder el original;"Mantener campos `*_raw`; normalizar blancos, nulos, mayúsculas, codificación y separadores. Tokenizar `Sustancia` y reconocer exactamente Oro/Au según diccionario; no usar coincidencias parciales arbitrarias. Conservar Au principal/acompañante como metadato de etiqueta cuando sea verificable. Salida: inventario tabular normalizado y reglas versionadas.";Pendiente;;;;
09;Fase B. Limpiar indicios y definir las etiquetas;Verificar las coordenadas;"Comprobar geometría no nula, tipo punto, CRS, relación con máscara española y provincia/municipio de referencia. Comparar geometría con X/Y, registrar precisión conocida y origen del ajuste. Poner anomalías en cuarentena; no cambiar de signo, mover al municipio o inferir husos a ciegas. Salida: `indicios_geometry_qc.gpkg` y `correcciones_coordenadas.csv`. Los registros sin localización defendible quedan fuera del entrenamiento, con motivo.";Pendiente;;;;
10;Fase B. Limpiar indicios y definir las etiquetas;Deduplicar en tres niveles;"Primero código repetido; después posición coincidente; finalmente depósito/sistema geológico compartido. Revisar las dos agrupaciones de coordenadas auríferas repetidas detectadas. Utilizar nombres, cartografía y distancia como ayuda, sin asumir que cualquier pareja cercana es el mismo depósito. Comparar agrupaciones espaciales con radios tentativos de 250/500/1.000 m, condicionados por precisión y geología. Salida: `deposit_id`, `district_id` y correspondencia entre registros y depósitos. No fijar el total final en 787: esa cifra es solo de posiciones.";Pendiente;;;;
