geology,count,pct_records
<Missing>,481,0.5172043011
Hard rock,236,0.2537634409
Quaternary terrace,60,0.06451612903
Pyrite,42,0.04516129032
Terrace,24,0.02580645161
Tertiary alluvium,23,0.0247311828
"Alterites, tertiary deposits, and terraces",21,0.02258064516
Colluvial deposits,9,0.009677419355
Alluvial deposits,8,0.008602150538
Colluvial deposits and river terrace,4,0.004301075269
Quaternary Terrace,2,0.002150537634
Hard rock and colluvium,2,0.002150537634
Quartz veins with gold-bearing arsenopyrites,2,0.002150537634
"Alterites, Tertiary deposits, and terraces",2,0.002150537634
"Alterites, tertiary deposits, and terrace",1,0.001075268817
Quaternary terrace and river placer deposits,1,0.001075268817
Google Earth suggests that the site is developed in a shape similar to a corona on the slope of the hill,1,0.001075268817
"Borlase says this is a tin mine, and does not mention gold.",1,0.001075268817
Alluvium and Quaternary terraces,1,0.001075268817
Quaternary terraǾ䀀,1,0.001075268817
Alluvial deposits worked by ruina montium,1,0.001075268817
"Placer deposits, mined in riverbed after diversion of river",1,0.001075268817
Hard rock and alluvium,1,0.001075268817
Alluvium,1,0.001075268817
Tertiary deposits,1,0.001075268817
Colluvium and slope deposits,1,0.001075268817
"Colluvium, slope deposits, and alluvium",1,0.001075268817
"Hard rock; alterites, colluvium",1,0.001075268817
