flag,severity,count,pct_records,definition
flag_country_override,review,1,0.001075268817,Included by an explicit mineID override because the OxREP country field contains a subnational Spanish territory rather than 'Spain'.
flag_coordinate_missing,high,7,0.00752688172,Latitude or longitude is missing/non-numeric; no point geometry is exported.
flag_coordinate_outside_broad_spain_envelope,high,0,0,Coordinate falls outside broad QA envelopes for Spain. These envelopes are not an administrative point-in-polygon test.
flag_coordinate_accuracy_missing,medium,8,0.008602150538,OxREP coordinateAccuracy is missing/non-numeric.
flag_coordinate_accuracy_zero,review,76,0.08172043011,OxREP reports coordinateAccuracy=0. Its semantics are not inferred as either perfect precision or missingness.
flag_coordinate_accuracy_gt_1000,medium,23,0.0247311828,Reported coordinateAccuracy is greater than 1000 (unit is not encoded in the worksheet schema).
flag_location_source_missing,medium,7,0.00752688172,locationDataSource is empty.
flag_metal_unknown_or_invalid,medium,3,0.003225806452,At least one commodity indicator is '?' or an unrecognised value.
flag_metal_missing,medium,2,0.002150537634,At least one commodity indicator is blank.
flag_no_confirmed_commodity,medium,0,0,No commodity indicator is confirmed present.
flag_technique_unknown_or_invalid,medium,0,0,At least one technique indicator is '?' or an unrecognised value.
flag_technique_incomplete,review,605,0.6505376344,At least one technique field is blank; blank is not treated as FALSE.
flag_no_confirmed_technique,review,354,0.3806451613,No technique indicator is confirmed present.
flag_chronology_missing,review,892,0.9591397849,All four chronology bounds and inUseDate are empty.
flag_chronology_invalid,high,0,0,Available numeric chronology bounds are internally inconsistent.
flag_geology_missing,review,481,0.5172043011,geology is empty.
flag_deposit_type_missing,review,213,0.2290322581,depositType is empty.
flag_deposit_type_unexpected,medium,3,0.003225806452,depositType is populated but outside the observed Primary/Secondary vocabulary.
flag_exploitation_type_missing,review,408,0.4387096774,exploitationType is empty.
flag_exploitation_type_unexpected,medium,1,0.001075268817,exploitationType is populated but outside the observed Selective/Extensive vocabulary.
flag_possible_column_shift,high,2,0.002150537634,"Values resemble a one-column shift between geology, depositType and exploitationType; requires source review."
flag_source_uncertainty_text,review,117,0.1258064516,Source text contains an explicit uncertainty/possible-duplicate/work-in-progress phrase.
flag_duplicate_mine_id,high,0,0,mineID is duplicated within the selected dataset.
flag_duplicate_coordinates,review,4,0.004301075269,Another selected record has exactly the same numeric latitude and longitude.
flag_duplicate_site_name,review,20,0.02150537634,Another selected record has the same accent-insensitive normalised site name.
flag_nearby_record_100m,review,6,0.006451612903,Another selected record lies within the configured 100 m candidate-review threshold.
flag_text_encoding_artifact,medium,6,0.006451612903,At least one source text field contains a replacement/control artefact pattern.
