variable,familia,rol,uso,significado,unidades,fundamento_predictivo,limitaciones,fuente,metodo,tipo,n_faltantes,faltantes_pct,n_distintos,rango_o_ejemplos
row,Identificación y soporte territorial,auxiliar_no_predictor,Excluir de X,Índice de fila desde 0; aumenta hacia el sur.,índice,No se propone como predictor geológico.,Permite reconstruir la rejilla; puede memorizar localización.,Fases C/D; código y configuración,,int64,0,0.0,872,0 … 871
col,Identificación y soporte territorial,auxiliar_no_predictor,Excluir de X,Índice de columna desde 0; aumenta hacia el este.,índice,No se propone como predictor geológico.,Localiza la celda en la matriz; no representa un proceso geológico.,Fases C/D; código y configuración,,int64,0,0.0,1035,36 … 1070
cell_id,Identificación y soporte territorial,clave,Excluir de X,"Identificador único formado por versión de rejilla, fila y columna.",texto,No se propone como predictor geológico.,Clave de unión y trazabilidad; nunca una magnitud geológica.,Fases C/D; código y configuración,,str,0,0.0,496855,es_pen_utm30_1km_v1_r0000_c0172: 1; es_pen_utm30_1km_v1_r0000_c0173: 1; es_pen_utm30_1km_v1_r0001_c0172: 1; es_pen_utm30_1km_v1_r0001_c0173: 1
x_center,Identificación y soporte territorial,auxiliar_no_predictor,Excluir de X,"Coordenada este del centro: -50000 + (col + 0,5) × 1000.",m; EPSG:25830,No se propone como predictor geológico.,"Localización espacial; usar para mapas y evaluación espacial, no como predictor autorizado.",Fases C/D; código y configuración,,float64,0,0.0,1035,-13500.0 … 1020500.0
y_center,Identificación y soporte territorial,auxiliar_no_predictor,Excluir de X,"Coordenada norte del centro: 4860000 - (row + 0,5) × 1000.",m; EPSG:25830,No se propone como predictor geológico.,Localización espacial; no es latitud y puede codificar provincias de exploración.,Fases C/D; código y configuración,,float64,0,0.0,872,3988500.0 … 4859500.0
land_area_m2,Identificación y soporte territorial,auxiliar_no_predictor,Excluir de X,Superficie terrestre de la celda según la máscara candidata.,m²,No se propone como predictor geológico.,Denominador para agregaciones; mide soporte territorial.,Fases C/D; código y configuración,,float64,0,0.0,6374,0.6185531052243661 … 1000000.0
land_fraction,Identificación y soporte territorial,auxiliar_no_predictor,Excluir de X,land_area_m2 / 1000000; fracción terrestre del cuadrado de 1 km.,fracción 0–1,No se propone como predictor geológico.,"Describe costa y bordes de la máscara, no fertilidad.",Fases C/D; código y configuración,,float64,0,0.0,6374,6.185531052243661e-07 … 1.0
coastal_eligible,Identificación y soporte territorial,auxiliar_no_predictor,Excluir de X,"Verdadero cuando land_fraction ≥ 0,5.",booleano,No se propone como predictor geológico.,Filtro de soporte mínimo costero; no una probabilidad de oro.,Fases C/D; código y configuración,,bool,0,0.0,2,False … True
diagnostic_block,Identificación y soporte territorial,auxiliar_no_predictor,Excluir de X,"Bloque de diagnóstico de 50 × 50 km, construido con fila y columna.",categoría espacial,No se propone como predictor geológico.,Agrupa diagnósticos de cobertura; no es automáticamente un fold de validación.,Fases C/D; código y configuración,,str,0,0.0,246,"b1_2: 2,500; b1_3: 2,500; b1_4: 2,500; b1_5: 2,500"
litologia_cobertura,Calidad geológica,auxiliar_no_predictor,Excluir de X,Área de unión de polígonos de la familia / área terrestre de la celda.,m²/m² terrestre,Controla si la extracción es utilizable.,No interpreta litología ni edad; filtrar/auditar fuera de X. El exceso de solape no tiene garantizado el límite 1 en cualquier conjunto de datos.,Fases C/D; código y configuración,,float64,0,0.0,4900,0.0 … 1.0000000000000004
litologia_solape_fraccion,Calidad geológica,auxiliar_no_predictor,Excluir de X,"Exceso de suma de áreas de categorías sobre área de unión, dividido por área terrestre; detecta conflicto entre categorías.",m²/m² terrestre,Controla si la extracción es utilizable.,No interpreta litología ni edad; filtrar/auditar fuera de X. El exceso de solape no tiene garantizado el límite 1 en cualquier conjunto de datos.,Fases C/D; código y configuración,,float64,0,0.0,433,0.0 … 9.740918998714609e-12
litologia_sin_atributo_fraccion,Calidad geológica,auxiliar_no_predictor,Excluir de X,Área de polígonos SIN_ATRIBUTO / área terrestre.,m²/m² terrestre,Controla si la extracción es utilizable.,No interpreta litología ni edad; filtrar/auditar fuera de X. El exceso de solape no tiene garantizado el límite 1 en cualquier conjunto de datos.,Fases C/D; código y configuración,,float64,0,0.0,12726,0.0 … 1.0000000000000002
edades_cobertura,Calidad geológica,auxiliar_no_predictor,Excluir de X,Área de unión de polígonos de la familia / área terrestre de la celda.,m²/m² terrestre,Controla si la extracción es utilizable.,No interpreta litología ni edad; filtrar/auditar fuera de X. El exceso de solape no tiene garantizado el límite 1 en cualquier conjunto de datos.,Fases C/D; código y configuración,,float64,0,0.0,4900,0.0 … 1.0000000000000004
edades_solape_fraccion,Calidad geológica,auxiliar_no_predictor,Excluir de X,"Exceso de suma de áreas de categorías sobre área de unión, dividido por área terrestre; detecta conflicto entre categorías.",m²/m² terrestre,Controla si la extracción es utilizable.,No interpreta litología ni edad; filtrar/auditar fuera de X. El exceso de solape no tiene garantizado el límite 1 en cualquier conjunto de datos.,Fases C/D; código y configuración,,float64,0,0.0,435,0.0 … 9.740918998714609e-12
edades_sin_atributo_fraccion,Calidad geológica,auxiliar_no_predictor,Excluir de X,Área de polígonos SIN_ATRIBUTO / área terrestre.,m²/m² terrestre,Controla si la extracción es utilizable.,No interpreta litología ni edad; filtrar/auditar fuera de X. El exceso de solape no tiene garantizado el límite 1 en cualquier conjunto de datos.,Fases C/D; código y configuración,,float64,0,0.0,12726,0.0 … 1.0000000000000002
falla_cartografiada_sin_traza_en_10000m,Calidad de trazas,auxiliar_no_predictor,Excluir de X,Verdadero cuando no hay distancia finita a falla_cartografiada dentro de 10000 m.,booleano,Indicador de búsqueda sin resultado; ayuda a interpretar el NaN de distancia.,No demuestra ausencia de estructura/cauce ni que la zona haya sido levantada. Excluido de la lista de predictores.,Fases C/D; código y configuración,,bool,0,0.0,2,False … True
structural_soporte_terrestre_1000m,Soporte de vecindario,auxiliar_no_predictor,Excluir de X,Área terrestre ponderada de la ventana de radio 1000 m dividida por el área de la ventana discretizada usada en densidades.,fracción ≈0–1,Controla el denominador efectivo junto a costas y límites.,No mide porcentaje de estructuras/cauces observados ni cobertura de campaña; pequeñas desviaciones numéricas pueden deberse a la convolución.,Fases C/D; código y configuración,,float64,0,0.0,12226,0.03639710891793203 … 1.000000000000001
structural_soporte_terrestre_5000m,Soporte de vecindario,auxiliar_no_predictor,Excluir de X,Área terrestre ponderada de la ventana de radio 5000 m dividida por el área de la ventana discretizada usada en densidades.,fracción ≈0–1,Controla el denominador efectivo junto a costas y límites.,No mide porcentaje de estructuras/cauces observados ni cobertura de campaña; pequeñas desviaciones numéricas pueden deberse a la convolución.,Fases C/D; código y configuración,,float64,0,0.0,29607,0.028286446680885126 … 1.000000000000001
structural_soporte_terrestre_10000m,Soporte de vecindario,auxiliar_no_predictor,Excluir de X,Área terrestre ponderada de la ventana de radio 10000 m dividida por el área de la ventana discretizada usada en densidades.,fracción ≈0–1,Controla el denominador efectivo junto a costas y límites.,No mide porcentaje de estructuras/cauces observados ni cobertura de campaña; pequeñas desviaciones numéricas pueden deberse a la convolución.,Fases C/D; código y configuración,,float64,0,0.0,48907,0.120610047196506 … 1.0000000000000009
falla_supuesta_sin_traza_en_10000m,Calidad de trazas,auxiliar_no_predictor,Excluir de X,Verdadero cuando no hay distancia finita a falla_supuesta dentro de 10000 m.,booleano,Indicador de búsqueda sin resultado; ayuda a interpretar el NaN de distancia.,No demuestra ausencia de estructura/cauce ni que la zona haya sido levantada. Excluido de la lista de predictores.,Fases C/D; código y configuración,,bool,0,0.0,2,False … True
cabalgamiento_cartografiada_sin_traza_en_10000m,Calidad de trazas,auxiliar_no_predictor,Excluir de X,Verdadero cuando no hay distancia finita a cabalgamiento_cartografiada dentro de 10000 m.,booleano,Indicador de búsqueda sin resultado; ayuda a interpretar el NaN de distancia.,No demuestra ausencia de estructura/cauce ni que la zona haya sido levantada. Excluido de la lista de predictores.,Fases C/D; código y configuración,,bool,0,0.0,2,False … True
cabalgamiento_supuesta_sin_traza_en_10000m,Calidad de trazas,auxiliar_no_predictor,Excluir de X,Verdadero cuando no hay distancia finita a cabalgamiento_supuesta dentro de 10000 m.,booleano,Indicador de búsqueda sin resultado; ayuda a interpretar el NaN de distancia.,No demuestra ausencia de estructura/cauce ni que la zona haya sido levantada. Excluido de la lista de predictores.,Fases C/D; código y configuración,,bool,0,0.0,2,False … True
contacto_intrusivo_cartografiada_sin_traza_en_10000m,Calidad de trazas,auxiliar_no_predictor,Excluir de X,Verdadero cuando no hay distancia finita a contacto_intrusivo_cartografiada dentro de 10000 m.,booleano,Indicador de búsqueda sin resultado; ayuda a interpretar el NaN de distancia.,No demuestra ausencia de estructura/cauce ni que la zona haya sido levantada. Excluido de la lista de predictores.,Fases C/D; código y configuración,,bool,0,0.0,2,False … True
contacto_intrusivo_supuesta_sin_traza_en_10000m,Calidad de trazas,auxiliar_no_predictor,Excluir de X,Verdadero cuando no hay distancia finita a contacto_intrusivo_supuesta dentro de 10000 m.,booleano,Indicador de búsqueda sin resultado; ayuda a interpretar el NaN de distancia.,No demuestra ausencia de estructura/cauce ni que la zona haya sido levantada. Excluido de la lista de predictores.,Fases C/D; código y configuración,,bool,0,0.0,2,False … True
structural_cobertura_levantamiento_acreditada,Calidad de levantamiento,auxiliar_no_predictor,Excluir de X,Bandera de acreditación de cobertura del levantamiento estructural o hidrográfico; el código la fija en falso.,booleano,"Control científico de disponibilidad, sin señal geológica.",Falso no significa territorio sin fallas/cauces. Es constante en esta ejecución.,Fases C/D; código y configuración,,bool,0,0.0,1,False … False
geoquimica_au_valid_rgb,Calidad geoquímica,auxiliar_no_predictor,Excluir de X,Fracción del área terrestre con clase y RGB aceptados para oro.,fracción 0–1,Determina si puede conservarse la variable geoquímica.,"RGB compatible no prueba leyenda correcta. Tolerancia euclídea 2 y margen mínimo 10 frente al segundo color; umbral de área 0,95.",Fases C/D; código y configuración,,float64,0,0.0,1847,0.0 … 1.0
geoquimica_as_valid_rgb,Calidad geoquímica,auxiliar_no_predictor,Excluir de X,Fracción del área terrestre con clase y RGB aceptados para arsénico.,fracción 0–1,Determina si puede conservarse la variable geoquímica.,"RGB compatible no prueba leyenda correcta. Tolerancia euclídea 2 y margen mínimo 10 frente al segundo color; umbral de área 0,95.",Fases C/D; código y configuración,,float64,0,0.0,1847,0.0 … 1.0
geoquimica_sb_valid_rgb,Calidad geoquímica,auxiliar_no_predictor,Excluir de X,Fracción del área terrestre con clase y RGB aceptados para antimonio.,fracción 0–1,Determina si puede conservarse la variable geoquímica.,"RGB compatible no prueba leyenda correcta. Tolerancia euclídea 2 y margen mínimo 10 frente al segundo color; umbral de área 0,95.",Fases C/D; código y configuración,,float64,0,0.0,1819,0.0 … 1.0
